st_model,embedding,classifier,doc
mdl_distilrobertav1,ds_st,cl_rf,"please, ask an agent if i could make a purchase"
mdl_distilrobertav1,ds_st,cl_rf,I found iwsues while creating an account
mdl_distilrobertav1,ds_st,cl_rf,can u ask an agent if i can place an order?
mdl_distilrobertav1,ds_st,cl_rf,I'm having issues creating a acount
mdl_distilrobertav1,ds_st,cl_rf,how do I make a complaimt?
mdl_distilrobertav1,ds_st,cl_rf,check your payment options
mdl_distilrobertav1,ds_st,cl_rf,I want to know where I can chedk my delivery
mdl_distilrobertav1,ds_st,cl_rf,where can I modify my shippinmg address?
mdl_distilrobertav1,ds_st,cl_rf,"I want to se my invoice, what do I have to do?"
mdl_distilrobertav1,ds_st,cl_rf,how do I make a consumer complpaint?
mdl_distilrobertav1,ds_st,cl_rf,where can I set up my shkpping address?
mdl_distilrobertav1,ds_st,cl_rf,tell me about changing my ourchase
mdl_distilrobertav1,ds_st,cl_rf,"could u ask an agent if i could view their apyment methods, please?"
mdl_distilrobertav1,ds_st,cl_rf,ask an agent how I can make an fucking complant
mdl_distilrobertav1,ds_st,cl_rf,Ifound an issue creating an account
mdl_distilrobertav1,ds_tfidf,cl_rf,"ask an agent how to see their fucking refund poliyc, please"
mdl_distilrobertav1,ds_tfidf,cl_rf,tell mr about seeing an invoice
mdl_distilrobertav1,ds_tfidf,cl_rf,"I want totrack my purchase, what do I have to do ?"
mdl_distilrobertav1,ds_tfidf,cl_rf,"I need an acxcount, what can I do?"
mdl_distilrobertav1,ds_tfidf,cl_rf,"can u ask an agent to cancel a fucking purchase, please?"
mdl_distilrobertav1,ds_tfidf,cl_rf,show me my invouce
mdl_distilrobertav1,ds_tfidf,cl_rf,ask an agent fi I get an full refund in case I cancel my ticket
mdl_distilrobertav1,ds_tfidf,cl_rf,can u ask an agent whats their reimbursement oplicy?
mdl_distilrobertav1,ds_tfidf,cl_rf,"I want a refumd, can I request one?"
mdl_distilrobertav1,ds_tfidf,cl_rf,can u ask an agent if i can place an order?
mdl_distilrobertav1,ds_tfidf,cl_rf,ask an agent if I could see the fuckig cancdllation fee
mdl_distilrobertav1,ds_tfidf,cl_rf,where to see my bgill
mdl_distilrobertav1,ds_tfidf,cl_rf,"I wolud like to see my bill, hat can I do?"
mdl_distilrobertav1,ds_tfidf,cl_rf,"I can't find ny nills, can you check them?"
mdl_distilrobertav1,ds_tfidf,cl_rf,tell em how to see an invoice
mdl_distilrobertav1,ds_tfidf,cl_rf,ask an agent whee to check the delivery otions
mdl_distilrobertav1,ds_tfidf,cl_rf,how does the refund process work?
mdl_distilrobertav1,ds_count,cl_rf,when will my tickket arrive ?
mdl_distilrobertav1,ds_count,cl_rf,can I checkmy biklls?
mdl_distilrobertav1,ds_count,cl_rf,where to see my bgill
mdl_distilrobertav1,ds_count,cl_rf,i need help seeing an invboice
mdl_distilrobertav1,ds_count,cl_rf,id like to see my bill
mdl_distilrobertav1,ds_count,cl_rf,"id like to get a rebund, could u help me?"
mdl_distilrobertav1,ds_count,cl_rf,I'm having an issaue opening an account
mdl_distilrobertav1,ds_count,cl_rf,ask an agent fi I get an full refund in case I cancel my ticket
mdl_distilrobertav1,ds_count,cl_rf,terll me if I could request an invice
mdl_distilrobertav1,ds_count,cl_rf,can u ask an agent if i can place an order?
mdl_distilrobertav1,ds_count,cl_rf,i wanna cancwl my online account
mdl_distilrobertav1,ds_count,cl_rf,can you show me the delivery perod for my ticket?
mdl_distilrobertav1,ds_count,cl_rf,"i wanna see the potions for delivwry, can u help me?"
mdl_distilrobertav1,ds_count,cl_rf,I need inforation about my bill
mdl_distilrobertav1,ds_count,cl_rf,"I want to file a fucking coment for a service, could you help me?"
mdl_distilrobertav1,ds_count,cl_rf,ask an agent how to check the status of my reimbrsement
mdl_distilrobertav1,ds_count,cl_rf,I need help making an ofder
mdl_distilrobertav1,ds_count,cl_rf,I want to know where I can chedk my delivery
mdl_distilrobertav1,ds_count,cl_rf,"please, ask an agent if i could make a purchase"
mdl_distilrobertav1,ds_count,cl_rf,information about midifying y purchase
mdl_distilrobertav1,ds_count,cl_rf,"I want to submit a consumer complint for a service, what should I do?"
mdl_distilrobertav1,ds_count,cl_rf,"I want to check the delievry options, what should I do?"
mdl_distilrobertav1,ds_count,cl_rf,"I want to trfack my order, can you tell me how to do it?"
mdl_distilrobertav1,ds_rand,cl_rf,where canI seemy bill?
mdl_distilrobertav1,ds_rand,cl_rf,i need help seeing an invboice
mdl_distilrobertav1,ds_rand,cl_rf,"I want to check the delievry options, what should I do?"
mdl_distilrobertav1,ds_rand,cl_rf,can you give me information about my fucking invoice?
mdl_distilrobertav1,ds_rand,cl_rf,"I can't find ny nills, can you check them?"
mdl_distilrobertav1,ds_rand,cl_rf,"I would like to make a fucking order, can you help me?"
mdl_distilrobertav1,ds_rand,cl_rf,I need help checking your apyment options
mdl_distilrobertav1,ds_rand,cl_rf,"I want to trfack my order, can you tell me how to do it?"
mdl_distilrobertav1,ds_rand,cl_rf,I found issus registering
mdl_distilrobertav1,ds_rand,cl_rf,I need help tracking ym redfund
mdl_distilrobertav1,ds_rand,cl_rf,i want to know how to nodify my order
mdl_distilrobertav1,ds_rand,cl_rf,"I wolud like to see my bill, hat can I do?"
mdl_distilrobertav1,ds_rand,cl_rf,"I want totrack my purchase, what do I have to do ?"
